SMILES,PG Explainer,Integrated Gradients,Saliency,SHAP Sampling,Input x Gradient,GNN Explainer,SubgraphX
Cc1nnn(C)c1-c1cnc2c3ccc(Cl)cc3n(C(c3ccccc3)C3CCC(F)(F)CC3)c2c1,True,True,True,True,True,True,False
CCCCCCCCCCCCN1C(=O)C2=C(c3ccc(Br)o3)N(CCCCCCCCCCCC)C(=O)C2=C1c1ccc(Br)o1,True,True,True,True,True,True,False
COc1cccc(CN2CCCN(CC(=O)Nc3ccc(Cl)cc3)S2(=O)=O)c1,True,True,True,True,True,True,False
CC(=O)O[P+](C)(C)C,True,True,True,True,True,True,False
ClC1=Nc2ccccc2C2=NC(Cc3ccccc3)CN12.Clc1nc(Cl)c2ccccc2n1.Clc1nc2ccccc2c2nc(Cc3ccccc3)cn12.Nc1nc2ccccc2c2nc(Cc3ccccc3)cn12.OCC(Cc1ccccc1)Nc1nc(Cl)nc2ccccc12,True,True,True,True,True,True,False
Cc1ccc(C(c2ccccc2)C2CC2)o1,True,True,True,True,True,True,False
COC(=O)c1cc(=O)c2c(OCC(O)COc3cccc4occc(=O)c34)cccc2o1,True,True,True,True,True,True,False
CCC1CCC(C(Cc2cnccc2N)NC)C1,True,True,True,True,True,True,False
C(=C(Pc1ccccc1)c1ccccc1)c1ccccc1,True,True,True,True,True,True,False
O=C(COC(O)c1cc2occc2[nH]1)N1CCC1,True,True,True,True,True,True,False
CNC(CC#CC(C)(C)C)C1C2C3CCC(C3)C21,True,True,True,True,True,True,False
COc1ccc(C(OCCCCCN2C(=CC3C(=O)C(=C(CCCCCO)C4=Nc5c(ccc6ccccc56)C4(C)C)C3O)C(C)(C)c3ccc4ccccc4c32)(c2ccccc2)c2ccc(OC)cc2)cc1,True,True,True,True,True,True,False
C=CCOC(=O)COc1ccc2c(c1)c1ccnc3c4ccccc4c(=O)n2c13,True,True,True,True,True,True,False
FC=CC(C(F)F)C(F)(F)F,True,True,True,True,True,True,False
CCOC(C(C#CCSc1ccccc1)=CC#C[Si](C)(C)C)c1ccccc1,True,True,True,True,True,True,False
CCC(C(=O)Nc1cc(Cl)ccc1OC)n1cnc2scc(-c3ccc(Br)cc3)c2c1=O,True,True,True,True,True,True,False
CCCCC(CC)COc1c2c[c]([Sn]([CH3])([CH3])[CH3])sc2c(OCC(CC)CCCC)c2c[c]([Sn]([CH3])([CH3])[CH3])sc12.CCCCCCCCOc1c(C)c(-c2cc3c(OCC(CC)CCCC)c4sc(C(C)(C)C)cc4c(OCC(CC)CCCC)c3s2)c2nsnc2c1-c1ccc(C(C)(C)C)s1.CCCCCCCCOc1c(C)c(-c2ccc(-c3cc4c(OCC(CC)CCCC)c5sc(C(C)(C)C)cc5c(OCC(CC)CCCC)c4s3)s2)c2nsnc2c1C(C)(C)C.CCCCCCCCOc1c(C)c(Br)c2nsnc2c1-c1ccc(Br)s1.[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,True,True,True,True,True,True,False
Cc1ccc2nc(-c3ccc4nc(-c5ccc(NC(=O)c6ccc7ccccc7c6)cc5)sc4c3)sc2c1S(=O)(=O)[O-].[NH4+],True,True,True,True,True,True,False
CC(C)(C(=O)Nc1cccc(Br)c1)N1CCNCC1,True,True,True,True,True,True,False
COc1ccc(N2CCC3C(OC(C)=O)CC=CC3(CC(O)C#CCCCCOC3CCCCO3)C2=O)cc1,True,True,True,True,True,True,False
Cn1c(C(C#N)c2nc(C#N)c(C#N)nc2Cl)nc2ccccc21,True,True,True,True,True,True,False
Cc1cccc(S(=O)(=O)NCCc2ccccc2)c1,True,True,True,True,True,True,False
Nc1nc2c(ncn2C2OC3COP(O)(=S)OC4C(COP(O)(=S)OC2C3O)OC(n2cnc3ccncc3c2=O)C4O)c(=O)[nH]1,True,True,True,True,True,True,False
CCCCCCCCCCCCCCCC[P+](C)(C)CCCCCCCCCCCCCCCC.[I-],True,True,True,True,True,True,False
NS(=O)(=O)c1nnccc1C1CCNCC1,True,True,True,True,True,True,False
CC(C)(C)OC(=O)NC1C(=O)N2C(C(=O)OC(c3ccccc3)c3ccccc3)=C(C=CSc3cnn4ccnc4c3)CSC12,True,True,True,True,True,True,False
CC#CCC(N)C1(OCC)CCCCC1,True,True,True,True,True,True,False
C=C(CC(=O)O)C(=O)OC(C(=O)OCc1ccccc1)c1ccc(C)cc1,True,True,True,True,True,True,False
CC(=O)N1CCCCCCCN(Cc2cccnc2)Cc2cc(C(=O)NCC3CC3)ccc21,True,True,True,True,True,True,False
COc1ccccc1CN(Cc1ccc(C(=O)NNC(=O)C(F)F)cc1F)C(=O)N1CCOCC1,True,True,True,True,True,True,False
CCC(C)(OC)C(=O)Nc1nc(CC(=O)O)cs1,True,True,True,True,True,True,False
CN1CCCN(C(=O)NC(CO)C(=O)O)CC1=O,True,True,True,True,True,True,False
COC(=O)CN(CC(=O)OC)C(=O)NC(CO)C(=O)O,True,True,True,True,True,True,False
CNC(=O)c1cc(NC(CO)Cc2ccccc2)ccn1,True,True,True,True,True,True,False
CC=C(O)C=CCN1CC2OCCOC2C1,True,True,True,True,True,True,False
Cc1ccccc1C(C)(N)Cc1ccc(F)cc1F,True,True,True,True,True,True,False
[C-]#[N+]CC(=O)N1CCN(c2ccccc2F)CC1,True,True,True,True,True,True,False
O=C1OC(Cc2ccccc2)c2cc(Cl)c(Cl)cc21,True,True,True,True,True,True,False
CC(=O)c1ccc(C(F)(F)Sc2ccccc2)cc1,True,True,True,True,True,True,False
CCC(C#N)c1nc(C)cc(-c2ccc(C)cc2C)n1,True,True,True,True,True,True,False
COc1cc2[nH]c(=O)[nH]c2cc1-c1ccco1,True,True,True,True,True,True,False
C[P+](C)(C)c1ccc(C(=O)O)cc1,True,True,True,True,True,True,False
Cn1ccn(CCC(N)=S)c1=O,True,True,True,True,True,True,False
CCC(O)C(=C[Si](C)(C)C)C(=O)OC1C(C(c2ccccc2)c2ccccc2)C2CCC1(C)C2(C)C,True,True,True,True,True,True,False
CC(=Nc1ccc(N(C)C=O)cc1)c1ccccc1O.CC(=Nc1ccc(N(C)C=O)s1)c1ccccc1.CN(C=O)c1ccc(N=Nc2ccccc2)cc1.CN(C=O)c1ccc(N=Nc2cccs2)cc1.O=CN(c1ccc(N=Nc2ccccc2)cc1)c1ccco1.O=CN(c1ccccc1)c1ccc(N=Nc2cccc3ccccc23)cc1.O=CN(c1ccccc1)c1ccc(N=Nc2ccccc2)cc1.O=CN(c1ccccc1)c1ccc(N=Nc2ccccc2)s1,True,True,True,True,True,True,False
COC(=O)C(N)Cc1ccc(OCc2ccccc2)cc1,True,True,True,True,True,True,False
COC(=O)C1=CC(N=C(N)N)C(NC(C)=O)C(C(OOCNCCCNC(=O)CCOCNCCCNC(=O)OC(C2COC(=O)O2)C2OC(C(=O)OC)=CC(N=C(N)N)C2NC(C)=O)C2COC(=O)O2)O1,True,True,True,True,True,True,False
CC(=O)C(CCC(=O)O)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(CC(N)=O)NC(=O)C(CC(=O)O)NC(=O)C(N)CCC(=O)O,True,True,True,True,True,True,False
COc1ccc(CCNC(=O)C2CCCN(S(=O)(=O)c3ccc(C)s3)C2)cc1OC(F)F,True,True,True,True,True,True,False
CCC(NCc1ccccc1F)C(=O)NC(=O)C(c1ccc(Cl)cc1Oc1cccc(CN)c1)N1CCN(c2ccccc2OC)CC1.Cl.Cl.Cl,True,True,True,True,True,True,False
CCC(NC1=NC(N)NC(C)=C1c1cncc(S(=O)(=O)Nc2ccc(F)cc2)c1)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,True,True,True,True,True,True,False
Cc1c(C(=O)Nc2cccc(S(C)(=O)=NC(=O)CN)c2)c(N2CCCC(F)(F)CC2)nc(C(F)(F)F)c1-c1cnn(C)c1,True,True,True,True,True,True,False
CC(C)(C)c1ccc([I-]c2ccc(C(C)(C)C)cc2)cc1.CC(C)(C)c1ccc([I-]c2ccc(C(C)(C)C)cc2)cc1.CC(F)(F)C(=O)OCC12CC3CC(CC(O)(C3)C1)C2.CC(F)(F)C(=O)OCC12CC3CC(CC(O)(C3)C1)C2.[Cl-],True,True,True,True,True,True,False
O=C(O)CNC(=O)c1c(=O)cc(SCCC2CCCCC2)n2[nH]cnc12,True,True,True,True,True,True,False
CCCCC(C(=O)c1cn(C(=O)N(C)C)c2cc(-c3ccc(F)cc3)ccc12)n1c(C)nc2cnccc21,True,True,True,True,True,True,False
CCC=CCCC=CCCC=CC(O)C(CO)NC(=O)CC(O)CCCCCCCC=CCCCCCC,True,True,True,True,True,True,False
CC(C)(C)OC(=O)NC(C(=O)O)C(C)(C)COCC#CC1CC1,True,True,True,True,True,True,False
CCNC(c1cncc(C)c1)c1ccc(OC)nn1,True,True,True,True,True,True,False
