SMILES,PG Explainer,Integrated Gradients,Saliency,SHAP Sampling,Input x Gradient,GNN Explainer,SubgraphX
CCC(C)C(NC(=O)C(CCC(=O)O)NC(=O)C(N)CO)C(=O)NC(CCC(N)=O)C(=O)NC(CC(C)C)C(=O)NC(CCSC)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(CC(N)=O)C(=O)NC(CC(C)C)C(=O)NCC(=O)NC(CCCCN)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(CO)C(=O)NC(C(=O)NC(CCC(=O)O)C(=O)NC(CCCN=C(N)N)C(=O)NC(CCSC)C(=O)NC(CCC(N)=O)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CCC(N)=O)C(=O)NC(CC(=O)O)C(=O)NC(C(=O)NC(Cc1c[nH]cn1)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O)C(C)C)C(C)C,True,True,True,True,True,True,False
Cc1c(C)c(S(=O)(=O)NC(N)=NCCCC2NC(=O)C(CCC(N)=O)NC(=O)C(COC(C)(C)C)NC(=O)C(NC(=O)C(CCC(N)=O)NC(=O)OC(C)(C)C)CCCCNC(=O)CCC(C(=O)NC(CC(=O)O)C(=O)N3CCCC3C(=O)NC(C(N)=O)C(C)C)NC(=O)C(CC(=O)OC(C)(C)C)NC(=O)C(CCC(N)=O)NC(=O)C(COC(C)(C)C)NC2=O)c(C)c2c1OC(C)(C)CC2,True,True,True,True,True,True,False
C=CC(=O)N1CCC(=O)Oc2ccc(CC(CC(C)C(=O)O)NC(=O)c3csc(C(CC(C(C)C)N(C)C(=O)C(NC(=O)C4CCCCN4C)C(C)CC)OC(C)=O)n3)cc2NC(=O)CCN1C(C)=O,True,True,True,True,True,True,False
CC(NC(=O)CNC(=O)CNC(=O)C(Cc1ccc(O)cc1)NC(=O)C(N)CO)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CCCCN)C(=O)NC(CCCN=C(N)N)C(=O)O,True,True,True,True,True,True,False
C=CC1CC1(CC(=O)C1CC(Oc2cc(-c3csc(NC(C)C)n3)nc3cc(OC)ccc23)CN1C(=O)C(CC(=O)OC1CC2CC2C1)C(C)(C)C)C(=O)OC.C=CC1CC1(CC(=O)C1CC(Oc2cc(-c3csc(NC(C)C)n3)nc3cc(OCOC=O)ccc23)CN1C(=O)C(CC(=O)OC1CC2CC2C1)C(C)(C)C)C(=O)O.O.O=C(OC1CC2CC2C1)ON1C(=O)CCC1=O.O=C=O.[C-]#[N+]COc1ccc2c(OC3CC(C(=O)CC4(C(=O)OC)CC4C=C)N(C(=O)C(CC(=O)OC(C)(C)C)C(C)(C)C)C3)cc(-c3csc(NC(C)C)n3)nc2c1.[Li+].[OH-],True,True,True,True,True,True,False
CCPSCC[N+](C)(C)C,True,True,True,True,True,True,False
COc1ccc(CC(NC(=O)C(C)CC(=O)C(CC(C)C)NC(=O)c2oc3c(OC)c(OC)ccc3c2C)C(=O)N2CCCC2C(=O)NC(CC(=O)O)C(=O)CC(C)C(=O)NC(C(=O)N2CC(O)CC2C(=O)NC(Cc2ccc(OS(=O)(=O)F)cc2)C(=O)CC(CCCN=C(N)N)C(=O)N2CCCC2C(C)=O)C(C)C)cc1,True,True,True,True,True,True,False
CC.CCCC(NC(=O)C(CCCN=C(N)N)CC(=O)C(N)CC(C)C)C(=O)CC(C(=O)NC(CCC(N)=O)C(=O)CC(CS)C(=O)NC(CCCCC(=N)N)C(=O)CC(CO)C(=O)NC(C(=O)NC(CCC(=O)O)C(=O)NCC(=O)CC(CO)C(=O)NC(CS)C(=O)CCC(=O)NC(Cc1ccccc1)C(=O)CC(Cc1ccc(O)cc1)C(=O)O)C(C)C)C(C)C,True,True,True,True,True,True,False
COc1cc(Cl)c(C(O)c2ccc(SC)cc2)cc1Cl,True,True,True,True,True,True,False
CCCN(CCO)CC(=O)NC(=O)c1cccn1C,True,True,True,True,True,True,False
CC(CC(=O)C(NC(=O)CCCCCN1C(=O)CC(C)C1=O)C(C)C)C(=O)NC(CCCCNC(=O)CCNC(=O)C(N)CCN(C(=O)CO)C(c1cc(-c2cc(F)ccc2F)cn1Cc1ccccc1)C(C)(C)C)C(=O)O.CC(O)C(=O)N(CCC(N)C(=O)NCCCC(=O)CN1C(=O)CC(C)C1=O)C(c1cc(-c2cc(F)ccc2F)cn1Cc1ccccc1)C(C)(C)C.CCC(=O)NC(C(=O)CC(C)C(=O)NC(CCCCNC(=O)C(N)CCN(C(=O)CO)C(c1cc(-c2cc(F)ccc2F)cn1Cc1ccccc1)C(C)(C)C)C(=O)O)C(C)C,True,True,True,True,True,True,False
CCCN(CCC)C(=O)COc1ccc(C2NC(=O)NC(C(C)C)=C2C(=O)OC)cc1OC,True,True,True,True,True,True,False
CCC(C)C(NC(=O)C1CCCCN1C)C(=O)N(CCOC)C(CC(=O)c1nc(C(=O)NC(Cc2ccc(F)cc2)CC(C)C(=O)O)cs1)C(C)C,True,True,True,True,True,True,False
CCS(=O)(=O)Nc1cc(C(O)CNC(Cc2ccccc2)C(c2ccc(OC)cc2)c2ccc(OC)cc2)ccc1OCc1ccccc1,True,True,True,True,True,True,False
CCC(C)C(=O)NCC(O)C(O)C1OC(OP(=O)(O)OCC2OC(n3ccc(N)nc3=O)C(O)C2O)(C(=O)O)CC(O)C1NC(C)=O,True,True,True,True,True,True,False
N#CCCN(CCc1ccccc1)C(=O)C1CC1,True,True,True,True,True,True,False
CC(NC(=O)C(CC(=O)O)NC(=O)C(CC(=O)O)NC(=O)C(CCCCN)NC(=O)C(Cc1ccc(O)cc1)NC(=O)CNC(=O)C(CCCCN)NC(=O)C(N)Cc1ccc(O)cc1)C(=O)O,True,True,True,True,True,True,False
C=CC(NC(=O)COc1ccc(C(C)NNC(=O)CCn2c(O)cc(SCC(NC(=O)C(CC(=O)O)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(=O)O)NC(=O)CCCC(=O)O)C(=O)O)c2O)cc1)C(=O)Nc1ccc2[nH]c(C(=O)Nc3ccc4[nH]c(C(=O)N5CC(C)c6c5cc(OC(C)=O)c5ccccc65)cc4c3)cc2c1,True,True,True,True,True,True,False
NC(=NO)c1cc(COCC(F)(F)F)ccn1,True,True,True,True,True,True,False
CC(=O)CNC(CC(=O)O)C(=O)NC(C(=O)NC(CC(N)=O)C(=O)CNC(C(=O)CC1(C)CCCC=CCCCC(C)(C(=O)NC(CCCCN)C(=O)NC(C(=O)CNC(C)C(=O)NC(CCCN=C(N)N)C(N)=O)C(C)C)NC(=O)C(Cc2ccccc2)NC(=O)C(CC(C)C)NC1=O)C(C)O)C(C)C,True,True,True,True,True,True,False
CNCC(CCOC(C)(C)C)Cc1ccc(C)cc1,True,True,True,True,True,True,False
CC(C)CC(NC(=O)C(CCCN=C(N)N)CC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CCCCN)CC(=O)C(CC(=O)O)NC(=O)C(CC(=O)C(C)NC(=O)C(C)CO)C(C)O)C(=O)CC(Cc1cnc[nH]1)C(N)=O.CCCCCCCCCCCCCCCC(=O)NCC(=O)NCC(=O)CC(Cc1ccc(O)cc1)C(=O)NC(CCC(N)=O)C(=O)CC(CCCCN)C(=O)NC(CCCCN)C(=O)CC(CC(C)C)C(=O)NC(CCCN=C(N)N)C(=O)CC,True,True,True,True,True,True,False
CC(=O)NC(Cc1cnc[nH]1)C(=O)CC(Cc1cnc[nH]1)C(=O)NC(CCC(=O)O)C(=O)N1CCCC1C(=O)NCC(=O)CC(C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)CC(CC(C)C)C(=O)N1CCCC1C(=O)CC(CC(C)C)C(=O)NC(CO)C(=O)N1CCCC1C(N)=O,True,True,True,True,True,True,False
CC(C)(C)C(=O)O.CC(C)(C)CC(=O)O.CC(C)C(=O)O.CC(C)C(=O)O.CC(C)C(=O)O.CC(C)CC(=O)O.CC(O)C(N)C(=O)O.CC1CCNC1C(=O)O.CCC(=O)O.CCC(C)(C)C(=O)O.CCC(C)(CO)C(=O)O.CCC(C)(N)C(=O)O.CCC(C)C(=O)O.CCC(N)C(=O)O.CCCC(=O)O.CCCC(N)C(=O)O.CCCCC(=O)O.CCCCCC(=O)O.CCCCCCC(=O)O.CCCCCCCC(=O)O.CCCCCCCCCC(=O)O,True,True,True,True,True,True,False
COc1cc2cc(C(=O)CC(C)C(=O)O)sc2cc1OCCCCBr,True,True,True,True,True,True,False
CC(C)CC(NC(=O)C(N)Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)NC(CO)C(=O)NC(CCC(N)=O)C(=O)O,True,True,True,True,True,True,False
