Compound_CID,Name,Synonyms,Molecular_Formula,InChI,SMILES,InChIKey,IUPAC_Name,MeSH_Headings,Annotation_Content,Linked_BioAssays,Data_Source,Data_Source_Category,Tagged_by_PubChem,Molecular_Weight,Polar_Area,Complexity,XLogP,Heavy_Atom_Count,H-Bond_Donor_Count,H-Bond_Acceptor_Count,Rotatable_Bond_Count,Exact_Mass,Monoisotopic_Mass,Charge,Covalent_Unit_Count,Isotopic_Atom_Count,Total_Atom_Stereo_Count,Defined_Atom_Stereo_Count,Undefined_Atom_Stereo_Count,Total_Bond_Stereo_Count,Defined_Bond_Stereo_Count,Undefined_Bond_Stereo_Count,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Linked_PubChem_Patent_Family_Count,Annotation_Type_Count,Create_Date
38361768,"NCGC00384925-01_C22H28O8_[(2'R,3R,4'R,4a'R,5S,5'R,7'S,8a'S)-5-(3-Furyl)-4',7'-dihydroxy-2'-methyl-2-oxooctahydrodispiro[furan-3,1'-naphthalene-5',2''-oxiran]-4a'(2'H)-yl]methyl acetate","SCHEMBL30834854|NCGC00384925-01|NCGC00384925-01_C22H28O8_[(2'R,3R,4'R,4a'R,5S,5'R,7'S,8a'S)-5-(3-Furyl)-4',7'-dihydroxy-2'-methyl-2-oxooctahydrodispiro[furan-3,1'-naphthalene-5',2''-oxiran]-4a'(2'H)-yl]methyl acetate",C22H28O8,"InChI=1S/C22H28O8/c1-12-5-18(25)22(11-28-13(2)23)17(6-15(24)7-20(22)10-29-20)21(12)8-16(30-19(21)26)14-3-4-27-9-14/h3-4,9,12,15-18,24-25H,5-8,10-11H2,1-2H3/t12-,15+,16+,17-,18-,20+,21-,22+/m1/s1",C[C@@H]1C[C@H]([C@@]2([C@@H]([C@@]13C[C@H](OC3=O)C4=COC=C4)C[C@@H](C[C@]25CO5)O)COC(=O)C)O,QBUFIBYHAIKJCS-IZZFZGLZSA-N,,,Biological Test Results|Classification|Literature|Patents|Spectral Information|Taxonomy|Biological Test Results: Micromolar,1296008|1296009|1345084|1346986|1346987|1347055|1347159|1347160|1508620|1645851|1645870|1645876|1645877|1671188|1671193|1745853|1845191|1845192|1845220|1845221|1845222|1845223|1963823|1963824|1964107|2060322|2061308|2061315|2202376|2202377|2202548,Aurora Fine Chemicals LLC|Cheminformatics Friedrich-Schiller-University Jena|Google Patents|Japan Chemical Substance Dictionary (Nikkaji)|MassBank of North America (MoNA)|MolGenie|National Center for Advancing Translational Sciences (NCATS)|SureChEMBL|Wikidata,Chemical Vendors|Curation Efforts|Governmental Organizations|Legacy Depositors|NIH Initiatives|Research and Development,,420.5,119.0,741,0.6,30,2,8,4,420.178406,420.178406,0,1,0,8,8,0,0,0,0,9,4,2,7,20090529
131752422,Musabalbisiane A,"Musabalbisiane A|CHEBI:169153|(1S,2R,2'R,4aS,5R,5'S,6R,8R,8aR)-1-(carboxymethyl)-4a,8a-diormyl-5'-(uran-3-yl)-2,2',8-trihydroxy-6-(hydroxymethyl)spiro[2,3,4,6,7,8-hexahydronaphthalene-5,3'-oxolane]-1-carboxylic acid",C23H28O12,"InChI=1S/C23H28O12/c24-8-13-5-16(28)23(11-26)20(10-25,3-1-15(27)22(23,18(31)32)7-17(29)30)21(13)6-14(35-19(21)33)12-2-4-34-9-12/h2,4,9-11,13-16,19,24,27-28,33H,1,3,5-8H2,(H,29,30)(H,31,32)/t13-,14-,15+,16+,19+,20-,21-,22-,23-/m0/s1",C1C[C@@]2([C@@]3(C[C@H](O[C@H]3O)C4=COC=C4)[C@@H](C[C@H]([C@@]2([C@]([C@@H]1O)(CC(=O)O)C(=O)O)C=O)O)CO)C=O,OCCSGWHBAQZQOW-ZUKDTQBBSA-N,"(1S,2R,2'R,4aS,5R,5'S,6R,8R,8aR)-1-(carboxymethyl)-4a,8a-diformyl-5'-(furan-3-yl)-2,2',8-trihydroxy-6-(hydroxymethyl)spiro[2,3,4,6,7,8-hexahydronaphthalene-5,3'-oxolane]-1-carboxylic acid",,Chemical and Physical Properties|Classification|Literature|Pharmacology and Biochemistry|Spectral Information|Taxonomy,,ChEBI|Cheminformatics Friedrich-Schiller-University Jena|Human Metabolome Database (HMDB)|MolGenie|Wikidata,Curation Efforts|Research and Development,,496.5,212.0,894,-2.1,35,6,12,7,496.158081,496.158081,0,1,0,9,9,0,0,0,0,6,0,0,6,20171122
131752423,Musabalbisiane B,"Musabalbisiane B|CHEBI:190071|(2'R,3R,4S,4aR,5R,5'S,7R,8R,8aS)-4-(carboxymethyl)-4-ormyl-5'-(uran-3-yl)-2',3,5-trihydroxy-7,8a-bis(hydroxymethyl)spiro[1,2,3,5,6,7-hexahydronaphthalene-8,3'-oxolane]-4a-carboxylic acid",C23H30O12,"InChI=1S/C23H30O12/c24-8-13-5-16(28)23(18(31)32)20(10-25,7-17(29)30)15(27)1-3-21(23,11-26)22(13)6-14(35-19(22)33)12-2-4-34-9-12/h2,4,9-10,13-16,19,24,26-28,33H,1,3,5-8,11H2,(H,29,30)(H,31,32)/t13-,14-,15+,16+,19+,20+,21-,22-,23-/m0/s1",C1C[C@@]2([C@@]3(C[C@H](O[C@H]3O)C4=COC=C4)[C@@H](C[C@H]([C@@]2([C@]([C@@H]1O)(CC(=O)O)C=O)C(=O)O)O)CO)CO,DGMXGJQMPUKDQN-VLGBJMDQSA-N,"(2'R,3R,4S,4aR,5R,5'S,7R,8R,8aS)-4-(carboxymethyl)-4-formyl-5'-(furan-3-yl)-2',3,5-trihydroxy-7,8a-bis(hydroxymethyl)spiro[1,2,3,5,6,7-hexahydronaphthalene-8,3'-oxolane]-4a-carboxylic acid",,Chemical and Physical Properties|Classification|Literature|Pharmacology and Biochemistry|Spectral Information|Taxonomy,,ChEBI|Cheminformatics Friedrich-Schiller-University Jena|Human Metabolome Database (HMDB)|MolGenie|Wikidata,Curation Efforts|Research and Development,,498.5,215.0,865,-2.0,35,7,12,7,498.173737,498.173737,0,1,0,9,9,0,0,0,0,6,0,0,6,20171122
329253,Diosbulbin E,"Diosbulbin E|67567-14-0|8-(furan-3-yl)-3-hydroxy-10-methyl-7,14-dioxatetracyclo[11.2.1.02,11.05,10]hexadecane-6,15-dione|8-(furan-3-yl)-3-hydroxy-10-methyl-7,14-dioxatetracyclo[11.2.1.0^{2,11}.0^{5,10}]hexadecane-6,15-dione|8-(furan-3-yl)-3-hydroxy-10-methyl-7,14-dioxatetracyclo(11.2.1.0^(2,11).0^(5,10))hexadecane-6,15-dione|8-(furan-3-yl)-3-hydroxy-10-methyl-7,14-dioxatetracyclo(11.2.1.02,11.05,10)hexadecane-6,15-dione|RefChem:134542|DIOSBULBIN-E|NSC310636|(2S)-2beta-(3-Furyl)-5,6,6abeta,7,10,11,11aalpha,11b-octahydro-6alpha-hydroxy-11bbeta-methyl-7beta,10beta-methano-2H-pyrano[4,3-g][3]benzoxepine-4,8(1H,4aalphaH)-dione|DTXSID10317090|CHEBI:175389|SCA56714|NSC-310636|2-(Furan-3-yl)-6-hydroxy-11b-methyloctahydro-2H-7,10-methanopyrano[4,3-g][3]benzoxepine-4,8(1H,4aH)-dione|8-(uran-3-yl)-3-hydroxy-10-methyl-7,14-dioxatetracyclo[11.2.1.02,11.05,10]hexadecane-6,15-dione",C19H22O6,"InChI=1S/C19H22O6/c1-19-7-15(9-2-3-23-8-9)25-18(22)13(19)6-14(20)16-11-4-10(5-12(16)19)24-17(11)21/h2-3,8,10-16,20H,4-7H2,1H3",CC12CC(OC(=O)C1CC(C3C2CC4CC3C(=O)O4)O)C5=COC=C5,OEIFXOHVCYVTGK-UHFFFAOYSA-N,"8-(furan-3-yl)-3-hydroxy-10-methyl-7,14-dioxatetracyclo[11.2.1.02,11.05,10]hexadecane-6,15-dione",,Chemical and Physical Properties|Classification|Literature|Patents|Pharmacology and Biochemistry|Taxonomy,,A2B Chem|AA BLOCKS|ABI Chem|BenchChem|Biosynth|BOC Sciences|ChEBI|ChemDB|Cheminformatics Friedrich-Schiller-University Jena|ChemSpider|DiscoveryGate|DTP/NCI|eNovation Chemicals|EPA DSSTox|EvitaChem|Google Patents|Human Metabolome Database (HMDB)|Metabolomics Workbench|MolGenie|NextBio|PubChem Reference Collection|RR Scientific|Smolecule|THE BioTek|Wikidata,Chemical Vendors|Curation Efforts|Governmental Organizations|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services,,346.4,86.0,605,1.7,25,1,6,1,346.141632,346.141632,0,1,0,8,0,8,0,0,0,2,5,3,6,20050326
23955788,Gnaphalidin,"70544-92-2|Gnaphalidin|MEGxp0_000709|orb1992269|ACon0_000193|AKOS040734484|NCGC00380853-01|NCGC00380853-01_C24H30O8_Dispiro[furan-3(2H),1'(5'H)-naphthalene-5',2''-oxiran]-4'(6'H)-one, 2-(acetyloxy)-4'a-[(acetyloxy)methyl]-5-(3-furanyl)octahydro-2'-methyl-, (2S,2'R,3R,4a'S,5S,5'R,8a'R)-",C24H30O8,"InChI=1S/C24H30O8/c1-14-9-20(27)24(13-29-15(2)25)19(5-4-7-22(24)12-30-22)23(14)10-18(17-6-8-28-11-17)32-21(23)31-16(3)26/h6,8,11,14,18-19,21H,4-5,7,9-10,12-13H2,1-3H3/t14-,18+,19-,21-,22+,23-,24+/m1/s1",C[C@@H]1CC(=O)[C@@]2([C@@H]([C@@]13C[C@H](O[C@H]3OC(=O)C)C4=COC=C4)CCC[C@]25CO5)COC(=O)C,GXQZOQHVBGNFHI-CZQCRYLRSA-N,,,Biological Test Results|Classification|Literature|Spectral Information|Biological Test Results: Active|Biological Test Results: Micromolar,1296008|1296009|1345084|1346986|1346987|1347055|1347159|1347160|1508620|1645851|1645870|1645876|1645877|1671188|1671193|1745853|1845191|1845192|1845220|1845221|1845222|1845223|1963823|1963824|1964107|2060322|2061308|2061315|2202376|2202377|2202548,AKos Consulting & Solutions|Aurora Fine Chemicals LLC|Biorbyt|Chem-Space.com Database|ChemBank|Cheminformatics Friedrich-Schiller-University Jena|Japan Chemical Substance Dictionary (Nikkaji)|MassBank of North America (MoNA)|Mcule|MolGenie|Molport|National Center for Advancing Translational Sciences (NCATS)|TargetMol|ZINC,Chemical Vendors|Governmental Organizations|Legacy Depositors|NIH Initiatives|Research and Development,,446.5,105.0,812,1.8,32,0,8,6,446.194061,446.194061,0,1,0,7,7,0,0,0,0,4,0,0,6,20080220
14021451,"(1R,3R,4R,4aS,5'S,8aR)-5'-(furan-3-yl)-1-hydroxy-8,8a-bis(hydroxymethyl)-3-methylspiro[1,2,3,4a,5,6-hexahydronaphthalene-4,3'-oxolane]-2'-one","(1R,3R,4R,4aS,5'S,8aR)-5'-(furan-3-yl)-1-hydroxy-8,8a-bis(hydroxymethyl)-3-methylspiro[1,2,3,4a,5,6-hexahydronaphthalene-4,3'-oxolane]-2'-one|103994-19-0|Teusalvin C|orb1990474|CHEBI:182440|DTXSID501099453|AKOS040736418|NCGC00380706-01|106092-19-7|NS00097353|(1a(2)R,2a(2)R,4a(2)R,4a(2)aR,5S,8a(2)aS)-5-(3-Furanyl)-3a(2),4,4a(2),4a(2)a,5,7a(2),8a(2),8a(2)a-octahydro-4a(2)-hydroxy-4a(2)a,5a(2)-bis(hydroxymethyl)-2a(2)-methylspiro[furan-3(2H),1a(2)(2a(2)H)-naphthalen]-2-one|(1R,3R,4R,4aS,5'S,8aR)-5'-(uran-3-yl)-1-hydroxy-8,8a-bis(hydroxymethyl)-3-methylspiro[1,2,3,4a,5,6-hexahydronaphthalene-4,3'-oxolane]-2'-one",C20H26O6,"InChI=1S/C20H26O6/c1-12-7-17(23)20(11-22)14(9-21)3-2-4-16(20)19(12)8-15(26-18(19)24)13-5-6-25-10-13/h3,5-6,10,12,15-17,21-23H,2,4,7-9,11H2,1H3/t12-,15+,16-,17-,19-,20+/m1/s1",C[C@@H]1C[C@H]([C@@]2([C@@H]([C@@]13C[C@H](OC3=O)C4=COC=C4)CCC=C2CO)CO)O,GLNIOASGXMEGTM-LTPBQMFOSA-N,"(1R,3R,4R,4aS,5'S,8aR)-5'-(furan-3-yl)-1-hydroxy-8,8a-bis(hydroxymethyl)-3-methylspiro[1,2,3,4a,5,6-hexahydronaphthalene-4,3'-oxolane]-2'-one",,Biological Test Results|Classification|Literature|Spectral Information|Taxonomy|Biological Test Results: Micromolar,1296008|1296009|1345084|1346986|1346987|1347055|1347159|1347160|1508620|1645851|1645870|1645876|1645877|1671188|1671193|1745853|1845191|1845192|1845220|1845221|1845222|1845223|1963823|1963824|1964107|2060322|2061308|2061315|2202376|2202377|2202548,AKos Consulting & Solutions|Ambinter|Aurora Fine Chemicals LLC|Biorbyt|ChEBI|Chem-Space.com Database|Cheminformatics Friedrich-Schiller-University Jena|EPA DSSTox|MassBank of North America (MoNA)|Mcule|MolGenie|Molport|National Center for Advancing Translational Sciences (NCATS)|NORMAN Suspect List Exchange|RR Scientific|TargetMol|Wikidata|ZINC,Chemical Vendors|Curation Efforts|Governmental Organizations|Legacy Depositors|NIH Initiatives|Research and Development,,362.4,100.0,603,1.2,26,3,6,3,362.172943,362.172943,0,1,0,6,6,0,0,0,0,8,0,0,6,20070209
14396803,"NCGC00384904-01_C20H26O6_(3R,3'R,3a'R,5S,6a'S,8'R,10'R,10a'R)-5-(3-Furyl)-3',10'-dihydroxy-8'-methyldecahydro-8'H-spiro[furan-3,7'-naphtho[1,8a-c]furan]-2-one","NCGC00384904-01|NCGC00384904-01_C20H26O6_(3R,3'R,3a'R,5S,6a'S,8'R,10'R,10a'R)-5-(3-Furyl)-3',10'-dihydroxy-8'-methyldecahydro-8'H-spiro[furan-3,7'-naphtho[1,8a-c]furan]-2-one",C20H26O6,"InChI=1S/C20H26O6/c1-11-7-16(21)20-10-25-17(22)13(20)3-2-4-15(20)19(11)8-14(26-18(19)23)12-5-6-24-9-12/h5-6,9,11,13-17,21-22H,2-4,7-8,10H2,1H3/t11-,13+,14+,15-,16-,17-,19-,20+/m1/s1",C[C@@H]1C[C@H]([C@@]23CO[C@H]([C@@H]2CCC[C@@H]3[C@@]14C[C@H](OC4=O)C5=COC=C5)O)O,FPNYZEUDIBOJQA-GUYDQXOLSA-N,"(3R,3aR,5'S,6aS,7R,8R,10R,10aR)-5'-(furan-3-yl)-3,10-dihydroxy-8-methylspiro[1,3,3a,4,5,6,6a,8,9,10-decahydrobenzo[d][2]benzofuran-7,3'-oxolane]-2'-one",,Biological Test Results|Classification|Literature|Spectral Information|Taxonomy|Biological Test Results: Micromolar,1296008|1296009|1345084|1346986|1346987|1347055|1347159|1347160|1508620|1645851|1645870|1645876|1645877|1671188|1671193|1745853|1845191|1845192|1845220|1845221|1845222|1845223|1963823|1963824|1964107|2060322|2061308|2061315|2202376|2202377|2202548,Aurora Fine Chemicals LLC|Cheminformatics Friedrich-Schiller-University Jena|Japan Chemical Substance Dictionary (Nikkaji)|MassBank of North America (MoNA)|MolGenie|National Center for Advancing Translational Sciences (NCATS)|Wikidata|ZINC,Chemical Vendors|Curation Efforts|Governmental Organizations|Legacy Depositors|NIH Initiatives|Research and Development,,362.4,89.1,595,1.9,26,2,6,1,362.172943,362.172943,0,1,0,8,8,0,0,0,0,8,0,0,6,20070209
124578182,Borapetoside E,"Borapetoside E|methyl (1S,2R,7S,8S,9R)-8-[(2R)-2-(furan-3-yl)-2-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyethyl]-2,8-dimethyl-10-oxo-11-oxatricyclo[7.2.1.02,7]dodec-3-ene-3-carboxylate|methyl (1S,2R,7S,8S,9R)-8-((2R)-2-(furan-3-yl)-2-((2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl)oxyethyl)-2,8-dimethyl-10-oxo-11-oxatricyclo(7.2.1.02,7)dodec-3-ene-3-carboxylate|RefChem:120962|151200-49-6|1,4-Methano-2-benzoxepin-9-carboxylic acid, 5-[(2R)-2-(3-furanyl)-2-(beta-D-glucopyranosyloxy)ethyl]-1,3,4,5,5a,6,7,9a-octahydro-5,9a-dimethyl-3-oxo-, methyl ester, (1S,4R,5S,5aS,9aR)-|CHEMBL4203329|MFCD28009387|AKOS032961871|FS-8759|DA-51346|1,4-Methano-2-benzoxepin-9-carboxylic acid, 5-[(2R)-2-(3-furanyl)-2-(|A-D-glucopyranosyloxy)ethyl]-1,3,4,5,5a,6,7,9a-octahydro-5,9a-dimethyl-3-oxo-, methyl ester, (1S,4R,5S,5aS,9aR)-|methyl (1S,2R,7S,8S,9R)-8-[(2R)-2-(3-furyl)-2-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydropyran-2-yl]oxy-ethyl]-2,8-dimethyl-10-oxo-11-oxatricyclo[7.2.1.02,7]dodec-3-ene-3-carboxylate",C27H36O11,"InChI=1S/C27H36O11/c1-26(15-9-19(38-24(15)33)27(2)14(23(32)34-3)5-4-6-18(26)27)10-16(13-7-8-35-12-13)36-25-22(31)21(30)20(29)17(11-28)37-25/h5,7-8,12,15-22,25,28-31H,4,6,9-11H2,1-3H3/t15-,16+,17+,18-,19-,20+,21-,22+,25+,26+,27-/m0/s1",C[C@@]1([C@@H]2CCC=C([C@@]2([C@@H]3C[C@H]1C(=O)O3)C)C(=O)OC)C[C@H](C4=COC=C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O,ZXGKLWUOGQDOTD-IYIXDXQLSA-N,"methyl (1S,2R,7S,8S,9R)-8-[(2R)-2-(furan-3-yl)-2-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyethyl]-2,8-dimethyl-10-oxo-11-oxatricyclo[7.2.1.02,7]dodec-3-ene-3-carboxylate",borapetoside E,Biological Test Results|Classification|Literature|Patents|Taxonomy|Biological Test Results: Active,1378487|1378488|1378489|1378490|1378491|1378492|1378493|1378494|1378495|1378496|1378497|1378498|1378499|1378500|1378501|1378502|1378503|1378504|1378505|1378506|1378507|1378508|1378509|1378510|1378516|1378517|1378518|1378519|1378520|1378521|1378522|1378523|1378524|1378525|1378526|1378527|1378528|1378529|1378530|1378531|1378532|1378533|1378534|1378535|1378536|1378537|1378538|1378539|1378540|1378541|1378542|1378543|1378544|1378545|1378547|1378548|1378551|1378552|1378553|1378554,"10X CHEM|1st Scientific|A2B Chem|AA BLOCKS|Accel Scientific|AChemBlock|AKos Consulting & Solutions|Amadis Chemical|Ambinter|BenchChem|BioCrick|BOC Sciences|ChEMBL|ChemFaces|Chemieliva Pharmaceutical Co., Ltd|ChemoSapiens|Debye Scientific Co., Ltd|eNovation Chemicals|Google Patents|InvivoChem|Key Organics/BIONET|Mcule|Molecule Market|MolGenie|Molport|PubChem Reference Collection|Smolecule|Wikidata|ZINC",Chemical Vendors|Curation Efforts|Governmental Organizations|Legacy Depositors|Research and Development,,536.6,165.0,953,1.2,38,4,11,8,536.225769,536.225769,0,1,0,11,11,0,0,0,0,3,3,2,6,20170410
6708619,"3,16-DIDEOXYMEXICANOLIDE-3beta-DIOL","3,16-DIDEOXYMEXICANOLIDE-3beta-DIOL|RefChem:90595|KBio2_000987|Spectrum_000507|SpecPlus_000249|Spectrum2_000206|Spectrum3_000076|Spectrum4_001358|Spectrum5_000295|BSPBio_001891|KBioGR_001915|KBioSS_000987|DivK1c_006345|SPBio_000191|CHEMBL3039251|KBio1_001289|KBio2_003555|KBio2_006123|KBio3_001111|NCGC00178923-01|PD002286|3-16-DIDEOXYMEXICANOLIDE-3beta-DIOL|SR-05000002704|SR-05000002704-1|BRD-A84663931-001-03-9",C27H36O7,"InChI=1S/C27H36O7/c1-25(2)19(12-20(28)32-5)27(4)17-6-8-26(3)18(15(17)10-16(22(25)30)23(27)31)11-21(29)34-24(26)14-7-9-33-13-14/h7,9,13,16-17,19,21-22,24,29-30H,6,8,10-12H2,1-5H3/t16-,17?,19-,21?,22-,24-,26+,27+/m0/s1",C[C@@]12CCC3C(=C1CC(O[C@H]2C4=COC=C4)O)C[C@H]5[C@@H](C([C@@H]([C@@]3(C5=O)C)CC(=O)OC)(C)C)O,CNSUXOYAIZBGRY-AJTZKIQZSA-N,"methyl 2-[(1R,5R,6R,13S,14S,16S)-6-(furan-3-yl)-8,14-dihydroxy-1,5,15,15-tetramethyl-17-oxo-7-oxatetracyclo[11.3.1.02,11.05,10]heptadec-10-en-16-yl]acetate",,Biological Test Results|Chemical and Physical Properties|Classification|Literature|Patents|Spectral Information,977599|977602|1159550|1159580|1159607|1259310|1259374|1259398|1259399|1259416|1259421|1259422|1508602|1508626,"Abe Lab, University of Texas MD Anderson Cancer Center|Broad Institute|CCSbase|ChemBank|ChEMBL|chemical genetic matrix|Chen Lab, School of Medicine, Emory University|Collaborative Drug Discovery, Inc.|Fisher Drug Discovery Resource Center|Google Patents|MassBank of North America (MoNA)|MolGenie|National Center for Advancing Translational Sciences (NCATS)|NextBio|Probes & Drugs portal|PubChem Reference Collection|Small Molecule Screening Facility, UW Madison|The Scripps Research Institute Molecular Screening Center",Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services,,472.6,106.0,909,2.0,34,2,7,4,472.246094,472.246094,0,1,0,8,6,2,0,0,0,5,3,3,6,20060605
6708727,"8beta-HYDROXYCARAPIN, 3,8-HEMIACETAL","8beta-HYDROXYCARAPIN, 3,8-HEMIACETAL|RefChem:107389|KBio2_003664|Spectrum_000616|SpecPlus_000636|Spectrum2_000639|Spectrum3_000036|Spectrum4_001318|Spectrum5_000135|BSPBio_001731|KBioGR_001755|KBioSS_001096|SPECTRUM100105|DivK1c_006732|SPBio_000638|CHEMBL3039135|SCHEMBL12998453|KBio1_001676|KBio2_001096|KBio2_006232|KBio3_000871|CCG-38552|NCGC00179052-01|PD002572|SR-05000002716|SR-05000002716-1|BRD-A17120244-001-02-6|BRD-A17120244-001-03-4",C27H32O8,"InChI=1S/C27H32O8/c1-23(2)17(10-19(28)32-5)25(4)16-6-8-24(3)18(11-20(29)34-22(24)14-7-9-33-13-14)26(16)12-15(21(25)30)27(23,31)35-26/h7,9,11,13,15-17,22,31H,6,8,10,12H2,1-5H3/t15?,16?,17-,22-,24+,25+,26?,27?/m0/s1",C[C@@]12CCC3[C@@]4([C@H](C(C5(C(C4=O)CC3(C1=CC(=O)O[C@H]2C6=COC=C6)O5)O)(C)C)CC(=O)OC)C,URGZBBCARSDFSL-PTRNVCADSA-N,"methyl 2-[(1S,5R,6R,16S)-6-(furan-3-yl)-14-hydroxy-1,5,15,15-tetramethyl-8,17-dioxo-7,18-dioxapentacyclo[11.3.1.111,14.02,11.05,10]octadec-9-en-16-yl]acetate",,Biological Test Results|Chemical and Physical Properties|Classification|Literature|Patents|Spectral Information,940|1422|2240|2241|2275|2313|2322|2330|434959|624101|624137|624156|624260|977599|977602|1159550|1159580|1159607|1259310|1259374|1259389|1259398|1259399|1259416|1259421|1259422|1346200|1508602|1508626,"Abe Lab, University of Texas MD Anderson Cancer Center|Broad Institute|CCSbase|Center for Chemical Genomics, University of Michigan|ChemBank|ChEMBL|chemical genetic matrix|Cheminformatics Friedrich-Schiller-University Jena|ChemSpider|Chen Lab, School of Medicine, Emory University|Collaborative Drug Discovery, Inc.|Emory University Molecular Libraries Screening Center|Fisher Drug Discovery Resource Center|Google Patents|Gulick Lab, Department of Structural Biology, University at Buffalo|IBM|MassBank of North America (MoNA)|MolGenie|National Center for Advancing Translational Sciences (NCATS)|NextBio|ORST SMALL MOLECULE SCREENING CENTER|PATENTSCOPE (WIPO)|Probes & Drugs portal|PubChem Reference Collection|Small Molecule Screening Facility, UW Madison|SureChEMBL|The Scripps Research Institute Molecular Screening Center",Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services,,484.5,112.0,1050,1.8,35,1,8,4,484.209717,484.209717,0,1,0,8,4,4,0,0,0,4,7,5,6,20060605
